20192017,2022:02:23,수,11:31:34 AM,version=0.1,Test,0,3,16,3,0.01528971,179.8405,0.07132038,2.981109,0.08286876,2.981109,
20192017,2022:02:23,수,11:33:56 AM,version=0.1,Test,0,3,16,8,0.003367962,178.2258,0.004437947,178.2258,0.003357831,178.2258,0.003748456,175.5223,0.003731064,175.5223,0.004842813,175.5223,0.07288309,4.235864,0.077416,4.235864,
20192017,2022:02:23,수,11:35:41 AM,version=0.1,Test,0,3,16,8,0.002228555,176.2023,0.004324635,176.2023,0.0009142118,176.2023,0.004089609,177.2246,0.002410199,177.2246,0.005915181,177.2246,0.06444133,5.985105,0.08324488,5.985105,
20155428,2022:02:23,수,12:32:42 PM,version=0.1,Test,,Start
20155428,2022:02:23,수,12:33:59 PM,version=0.1,Test,0,3,16,8,0.00216391,177.7038,0.002819997,177.7038,0.004524258,177.7038,0.005093085,177.72,0.007957728,177.72,0.002243633,177.72,0.06388059,1.93967,0.08619449,1.93967,
20155428,2022:02:23,수,12:35:32 PM,version=0.1,Test,0,3,16,8,0.002371623,179.3347,0.002444001,179.3347,0.002719897,179.3347,0.002143435,177.5962,0.003076707,177.5962,0.001737324,177.5962,0.07454937,1.946218,0.07524958,1.946218,
20155428,2022:02:23,수,12:36:54 PM,version=0.1,Test,0,3,16,8,0.001662958,178.466,0.002743916,178.466,0.003191146,178.466,0.005400143,178.3059,0.006471294,178.3059,0.004416369,178.3059,0.06400601,1.629188,0.08511903,1.629188,
20155428,2022:02:23,수,12:38:11 PM,version=0.1,Test,0,3,16,8,0.001808671,177.5622,0.00229662,177.5622,0.002285795,177.5622,0.003168678,177.314,0.00240944,177.314,0.004412767,177.314,0.07555249,1.189597,0.07103152,1.189597,
20192001,2022:02:23,수,01:24:35 PM,version=0.1,Test,,Start
20192001,2022:02:23,수,01:25:43 PM,version=0.1,Test,0,3,16,8,0.005647631,177.703,0.007146495,177.703,0.00428468,177.703,0.005836825,178.2594,0.006564676,178.2594,0.005114888,178.2594,0.08671719,1.94491,0.06653396,1.94491,
20192001,2022:02:23,수,01:26:52 PM,version=0.1,Test,0,3,16,8,0.002980793,178.757,0.003674457,178.757,0.002566094,178.757,0.005915741,178.0156,0.007414289,178.0156,0.005214506,178.0156,0.07118637,0.745461,0.07741909,0.745461,
20192001,2022:02:23,수,01:27:59 PM,version=0.1,Test,0,3,16,8,0.00627452,178.4246,0.007537806,178.4246,0.00568722,178.4246,0.003615492,178.6285,0.002864255,178.6285,0.004396888,178.6285,0.0748076,0.2349025,0.07672609,0.2349025,
20192001,2022:02:23,수,01:28:57 PM,version=0.1,Test,0,3,16,8,0.002367832,178.571,0.004540385,178.571,0.001518571,178.571,0.002240279,178.5016,0.002746158,178.5016,0.001868605,178.5016,0.08269193,2.379404,0.07121707,2.379404,
20215578,2022:02:23,수,02:22:06 PM,version=0.1,Test,,Start
20215578,2022:02:23,수,02:24:28 PM,version=0.1,Test,0,3,16,8,0.001595029,177.5157,0.001936971,177.5157,0.00248518,177.5157,0.00163105,176.5544,0.002525695,176.5544,0.002572537,176.5544,0.06627433,5.923542,0.09527962,5.923542,
20215578,2022:02:23,수,02:27:01 PM,version=0.1,Test,0,3,16,8,0.002449187,178.4614,0.002284703,178.4614,0.00282427,178.4614,0.003992966,178.2862,0.004715293,178.2862,0.003362328,178.2862,0.06442434,2.790919,0.08450335,2.790919,
20215578,2022:02:23,수,02:28:23 PM,version=0.1,Test,0,3,16,5,0.007166851,178.7744,0.009114078,178.7744,0.005248765,178.7744,0.07502592,2.854373,0.08883846,2.854373,
20215578,2022:02:23,수,02:30:39 PM,version=0.1,Test,0,3,16,8,0.002911725,178.8283,0.003265273,178.8283,0.002770397,178.8283,0.003212709,177.3795,0.002563768,177.3795,0.004393034,177.3795,0.06641001,2.795824,0.08721699,2.795824,
20182033,2022:02:23,수,04:01:00 PM,version=0.1,Test,,Start
20182033,2022:02:23,수,04:04:02 PM,version=0.1,Test,0,3,16,8,0.008404598,178.6324,0.008395417,178.6324,0.008413986,178.6324,0.006870167,178.7616,0.006784928,178.7616,0.007088533,178.7616,0.087902,2.152314,0.06348541,2.152314,
20182033,2022:02:23,수,04:07:18 PM,version=0.1,Test,0,3,16,8,0.002026619,178.7757,0.0007519336,178.7757,0.003451178,178.7757,0.004389058,178.242,0.004447735,178.242,0.00434606,178.242,0.07151141,2.604966,0.08433655,2.604966,
20182033,2022:02:23,수,04:11:12 PM,version=0.1,Test,0,3,16,8,0.00136966,178.9358,0.001550941,178.9358,0.003872992,178.9358,0.003956523,178.6814,0.002663777,178.6814,0.007347885,178.6814,0.07866311,1.449694,0.07585137,1.449694,
20182033,2022:02:23,수,04:13:10 PM,version=0.1,Test,0,3,16,8,0.004703651,176.7341,0.004818968,176.7341,0.00461146,176.7341,0.003693317,178.8888,0.004554702,178.8888,0.002952489,178.8888,0.06812439,2.165821,0.08777452,2.165821,
